trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
411,False,"{'a': 0.45, 'e': 0.12873490358780423}",20,8,0.6322294946586413,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
412,False,"{'a': 0.45, 'e': 0.12809283557753198}",35,23,18.05787366342772,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.45, 'e': 0.12745396989482075}",30,8,16.043840616149012,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
414,False,"{'a': 0.45, 'e': 0.1268182905679951}",20,14,8.748289021984624,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.45, 'e': 0.12618578170503877}",20,13,10.910553397707059,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.45, 'e': 0.1255564274931972}",20,12,12.781397322642862,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.45, 'e': 0.12493021219858241}",20,9,21.53997954751508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.45, 'e': 0.12430712016577938}",20,8,11.313847347188467,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
419,False,"{'a': 0.45, 'e': 0.12368713581745483}",25,11,30.173636367777085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.45, 'e': 0.12307024365396771}",25,19,9.771078004749548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.45, 'e': 0.1224564282529819}",25,14,17.25602709154615,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.45, 'e': 0.12184567426908036}",25,11,21.896997876522597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.45, 'e': 0.12123796643338168}",20,9,20.063370472492945,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.45, 'e': 0.12063328955315826}",25,15,18.51610417248593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.45, 'e': 0.12003162851145673}",30,9,14.535128962525764,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
426,False,"{'a': 0.45, 'e': 0.11943296826671962}",25,15,3.3206555637029758,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
427,False,"{'a': 0.45, 'e': 0.11883729385240965}",20,0,15.420196803233363,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
428,False,"{'a': 0.45, 'e': 0.1182445903766354}",20,12,14.508373349900978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.45, 'e': 0.11765484302177918}",20,11,16.88238513214032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.45, 'e': 0.11706803704412637}",20,6,23.450759547340393,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.45, 'e': 0.11648415777349697}",20,8,12.190686381540186,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
432,False,"{'a': 0.45, 'e': 0.11590319061287874}",25,9,28.32562782353174,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.45, 'e': 0.11532512103806251}",35,24,8.758781095448441,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
434,False,"{'a': 0.45, 'e': 0.11474993459727875}",25,11,25.863596105446454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.45, 'e': 0.1141776169108365}",25,11,12.367240012729486,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
436,False,"{'a': 0.45, 'e': 0.11360815367076371}",20,10,-1.080714220391171,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
437,False,"{'a': 0.45, 'e': 0.11304153064044985}",25,16,15.482733740858803,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.45, 'e': 0.11247773365428958}",20,12,1.4245672032974084,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
439,False,"{'a': 0.45, 'e': 0.11191674861732888}",20,11,19.200721708514788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.45, 'e': 0.11135856150491262}",20,16,7.838825566757096,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.45, 'e': 0.11080315836233387}",30,9,32.74056941440463,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.45, 'e': 0.11025052530448522}",30,12,22.67455595896266,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
443,False,"{'a': 0.45, 'e': 0.10970064851551141}",20,6,17.72897137963957,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
444,False,"{'a': 0.45, 'e': 0.10915351424846406}",20,5,16.660395098634318,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
